"","B2Bcontrolrep1","B2Bcontrolrep2","B2BNicotine125rep1","B2BNicotine125rep2","B2BNicotine250rep1","B2BNicotine250rep2","Hcontrolrep1","Hcontrolrep2","Hcontrol125rep1","Hcontrol125rep2","Hcontrol250rep1","Hcontrol250rep2"
"ENSG00000112659",1036,1647,1293,1254,1299,2215,1048,1487,2226,1484,2400,2672
"ENSG00000245261",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112667",1193,1802,1625,1809,1618,2849,922,1172,1694,1351,2399,2774
"ENSG00000146216",0,1,1,1,3,7,2,1,2,1,10,4
"ENSG00000137204",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146215",1,0,1,3,2,1,0,0,4,0,5,3
"ENSG00000171467",1960,3108,2619,2330,2411,4261,1770,2442,3444,2590,3604,4105
"ENSG00000219222",25,59,37,42,22,54,25,43,51,45,34,43
"ENSG00000220614",2,2,1,3,3,2,2,2,1,1,2,3
"ENSG00000179157",242,400,368,338,305,520,229,363,415,263,372,435
"ENSG00000226558",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000287055",4,4,5,5,4,5,1,3,9,5,5,4
"ENSG00000287266",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124574",769,1359,1063,1112,1225,2081,819,1296,1690,1156,1835,2269
"ENSG00000276770",0,0,0,0,0,1,2,1,0,0,0,0
"ENSG00000171462",292,462,343,379,394,595,361,463,655,443,922,1147
"ENSG00000207076",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137221",1105,1800,1520,1416,1351,2533,1441,1820,2579,1813,2995,3469
"ENSG00000204052",38,88,47,54,58,92,12,26,54,35,55,81
"ENSG00000171453",747,1322,1075,1087,861,1553,878,991,1356,946,1250,1456
"ENSG00000137207",3125,5135,4278,4260,4167,7090,3744,4660,6370,4957,7511,9079
"ENSG00000271754",7,8,4,6,4,20,8,4,10,6,9,9
"ENSG00000124571",2613,4778,3822,3778,3104,5522,2596,3407,4600,3343,4538,5594
"ENSG00000219470",3622,5927,4789,4957,4603,7784,3372,4332,5817,4582,5502,6752
"ENSG00000252218",0,0,0,1,1,1,0,0,0,0,0,0
"ENSG00000170734",1318,1991,1653,1548,1576,3192,1327,1888,2490,1676,2781,2939
"ENSG00000203362",7,26,30,19,19,31,12,12,27,11,30,38
"ENSG00000172432",2526,4227,3283,3322,3353,5853,2029,2625,4134,2700,4883,5786
"ENSG00000124688",925,1825,1420,1416,1271,2236,1196,1427,2001,1467,2050,2379
"ENSG00000172426",93,162,124,122,122,193,149,145,176,160,256,317
"ENSG00000096080",488,871,691,748,696,1032,459,664,825,597,906,982
"ENSG00000218107",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236961",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112715",1057,1782,1341,1428,1546,2656,1200,1229,1628,1154,2136,2881
"ENSG00000272114",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283573",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283215",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223469",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237686",14,4,4,7,10,20,6,12,5,2,22,22
"ENSG00000181577",6,6,3,3,4,7,0,2,4,1,7,6
"ENSG00000231881",3,6,7,7,7,6,11,12,10,15,9,17
"ENSG00000183239",162,238,194,200,185,318,128,178,195,162,241,304
"ENSG00000287562",37,70,35,41,29,88,52,63,90,43,118,111
"ENSG00000180992",2993,5030,4123,4338,3567,6079,3116,3978,5166,4020,5778,6883
"ENSG00000137216",1352,2562,1891,1940,2245,3765,1511,1915,2765,1910,3393,3999
"ENSG00000137225",0,0,0,0,3,1,3,0,1,1,1,2
"ENSG00000265439",2,2,1,6,2,7,1,1,6,2,3,1
"ENSG00000262179",0,0,0,1,0,0,1,0,0,0,1,1
"ENSG00000112759",2954,5168,4278,4343,4198,7251,3465,4609,6043,4358,7749,9296
"ENSG00000096384",40753,71521,59508,57712,46066,83866,52518,66796,85220,66629,78277,85919
"ENSG00000157593",3150,5533,4461,4595,4413,7433,3259,4378,6137,4458,7187,9049
"ENSG00000284427",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146232",900,1447,1383,1493,1413,2371,1138,1598,2258,1659,2148,2803
"ENSG00000178233",1,2,2,0,2,2,8,2,4,1,5,3
"ENSG00000272442",0,2,1,3,1,2,0,0,0,0,3,1
"ENSG00000146221",2,1,1,0,0,1,4,1,2,0,5,13
"ENSG00000124608",841,1349,1037,1106,1110,2002,772,1111,1581,1107,1833,2253
"ENSG00000249481",0,2,0,1,1,0,0,3,0,2,5,0
"ENSG00000096401",4265,7772,6154,5808,5192,9174,4635,5724,7492,6243,8019,9428
"ENSG00000266619",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000237530",0,0,0,0,0,1,0,0,0,1,0,0
"ENSG00000279076",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286417",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196284",331,548,369,350,334,530,140,187,277,194,314,388
"ENSG00000270900",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276156",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277769",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219384",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207769",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124813",513,868,658,602,512,1032,355,431,775,539,850,1131
"ENSG00000271857",11,13,22,17,13,20,19,13,42,18,21,21
"ENSG00000261080",0,2,1,0,2,1,0,3,0,0,5,0
"ENSG00000112782",0,0,2,0,6,2,1,0,6,4,6,5
"ENSG00000212468",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231769",11,15,11,21,9,14,15,14,16,9,21,23
"ENSG00000001561",1049,1836,1573,1404,1488,2520,980,1403,1671,1390,2072,2412
"ENSG00000112796",7,13,91,51,149,244,135,246,332,222,487,647
"ENSG00000229349",1834,3081,2578,2738,2299,3991,1959,2808,3499,2511,2980,3646
"ENSG00000172348",0,0,0,0,3,1,149,175,211,184,197,192
"ENSG00000226541",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236466",3,2,4,2,4,4,1,2,4,1,6,12
"ENSG00000146233",0,0,0,2,6,7,15,19,33,26,56,64
"ENSG00000153291",8,4,23,25,75,122,56,95,180,123,261,312
"ENSG00000242973",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000180113",0,0,0,0,1,0,4,0,7,1,6,2
"ENSG00000146070",0,0,0,0,0,0,3,1,1,1,5,8
"ENSG00000230062",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236164",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112818",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000069122",5,12,16,7,16,9,5,4,19,14,21,24
"ENSG00000225730",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153292",0,1,2,0,1,1,2,1,3,3,3,1
"ENSG00000146072",278,534,471,437,405,659,490,654,907,617,871,979
"ENSG00000271328",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287485",3,2,0,1,0,7,1,0,0,0,1,0
"ENSG00000270761",2,8,4,7,5,6,3,2,7,1,9,10
"ENSG00000198087",3003,5354,4149,3675,2914,5770,2874,3672,4139,3873,5017,5806
"ENSG00000199762",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216813",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000164393",0,0,1,0,0,1,1,0,0,0,0,0
"ENSG00000153294",13,11,11,11,7,12,0,0,1,2,3,0
"ENSG00000252711",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226594",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000216616",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124818",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200340",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244694",4,20,6,12,5,11,1,4,12,11,13,14
"ENSG00000286811",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000226068",313,587,430,451,353,597,553,698,854,657,863,964
"ENSG00000216835",128,198,186,178,171,262,194,190,290,263,274,351
"ENSG00000278736",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287137",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271162",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218337",0,2,1,0,4,6,2,1,0,0,0,1
"ENSG00000274867",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217631",8,19,10,14,14,21,22,19,25,24,40,27
"ENSG00000252457",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277043",0,0,0,0,3,0,1,1,0,0,0,0
"ENSG00000146085",1874,3397,2465,2423,2139,3713,1753,2184,2844,2382,3229,4069
"ENSG00000031691",1391,2465,1804,1720,1416,2645,1232,1575,1906,1544,2343,2871
"ENSG00000203972",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000197261",0,1,1,1,0,3,0,2,2,6,4,15
"ENSG00000216998",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112077",0,1,0,0,0,1,1,2,1,1,1,1
"ENSG00000124490",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235122",0,3,2,0,1,3,2,1,1,0,2,1
"ENSG00000279127",0,0,0,0,0,2,0,0,0,0,0,0
"ENSG00000096006",0,0,0,0,0,3,0,0,0,0,0,0
"ENSG00000170950",1,0,2,0,0,4,0,2,0,0,4,2
"ENSG00000226707",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124812",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214643",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177684",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214642",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203970",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180872",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226733",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286405",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000233470",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230472",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008197",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000008196",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000060303",11,31,24,22,16,34,25,32,34,33,43,51
"ENSG00000216913",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230204",6547,11578,8411,8775,8384,13475,6727,8248,12538,9879,14097,19483
"ENSG00000270306",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232702",435,705,565,517,497,858,490,546,806,647,848,926
"ENSG00000212532",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214641",1,1,0,0,0,1,0,1,0,0,0,0
"ENSG00000228689",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170927",0,0,0,0,3,5,0,0,3,0,2,0
"ENSG00000240641",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207604",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225613",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000199080",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112115",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112116",0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000218363",0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000112118",9784,17033,14111,13385,11436,19982,10187,13456,17572,13681,20486,24422
"ENSG00000170915",223,430,304,325,396,621,122,148,237,204,449,649
"ENSG00000096093",436,770,540,544,539,1017,342,438,611,422,831,1051
"ENSG00000065308",5064,8911,7094,6972,7167,12060,7859,10159,14033,10050,15359,17305
"ENSG00000225791",65,132,106,133,105,192,150,209,266,199,271,285
"ENSG00000270382",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000216775",428,732,545,451,551,913,316,478,687,528,820,1035
"ENSG00000096092",692,1207,864,979,873,1612,797,991,1403,993,1647,1967
"ENSG00000220377",2,1,0,0,0,0,0,0,0,0,0,1
"ENSG00000271227",0,0,0,0,0,3,0,0,0,0,1,0
"ENSG00000237674",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244067",0,3,0,0,0,1,0,0,0,0,0,0
"ENSG00000217228",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243955",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000223622",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000182793",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230375",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230845",0,0,2,0,0,1,0,0,0,2,0,0
"ENSG00000174156",0,0,0,0,0,0,0,1,0,0,1,1
"ENSG00000243236",0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000288014",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170899",146,262,218,201,226,409,105,107,183,152,356,417
"ENSG00000202198",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283293",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112144",851,1671,1291,1107,921,1739,682,816,1108,871,1228,1342
"ENSG00000288614",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112146",1642,2729,2290,2234,1955,3636,1837,2257,3189,2518,3605,4106
"ENSG00000288646",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242865",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261745",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137270",0,0,1,1,0,0,0,0,0,0,0,2
"ENSG00000253026",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219074",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218713",0,1,1,3,3,4,4,3,4,2,2,4
"ENSG00000206908",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219163",168,297,280,237,203,463,279,329,499,414,587,611
"ENSG00000012660",4272,7692,6077,5902,5450,9953,3686,4818,6394,4980,7539,8720
"ENSG00000264056",0,0,0,0,1,3,1,0,0,1,2,1
"ENSG00000217527",0,0,0,0,2,0,0,0,0,0,2,0
"ENSG00000271367",1,2,8,5,7,2,2,1,6,5,7,7
"ENSG00000219863",2,1,2,2,1,0,1,1,1,0,1,1
"ENSG00000218049",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218261",6,2,1,3,0,3,2,5,0,3,1,1
"ENSG00000271338",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253010",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271373",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000001084",878,1623,1254,1239,1079,1985,1021,1328,1684,1293,1731,2176
"ENSG00000249379",0,1,4,4,3,3,2,6,2,0,5,6
"ENSG00000231683",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235899",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000124743",0,4,10,4,4,7,0,3,1,0,2,4
"ENSG00000227885",15,25,13,10,13,21,10,16,14,13,15,30
"ENSG00000137269",523,1005,774,744,660,1081,516,642,922,717,1003,1259
"ENSG00000271218",3,7,6,7,8,9,6,16,8,8,5,2
"ENSG00000146147",4,10,1,1,0,3,0,0,0,0,0,0
"ENSG00000236740",2,2,2,4,0,2,1,1,1,0,2,1
"ENSG00000235050",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236996",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218143",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287745",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137251",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228231",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213335",0,1,0,1,0,0,1,0,1,0,0,2
"ENSG00000216347",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000220773",528,888,711,709,610,1041,468,527,766,545,719,875
"ENSG00000220635",3,6,7,2,2,9,2,2,4,2,6,2
"ENSG00000251946",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224984",0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000168143",14,17,11,13,11,44,20,21,46,25,52,39
"ENSG00000261116",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137252",0,0,0,1,1,0,0,1,0,1,0,0
"ENSG00000187871",0,0,0,0,1,2,0,1,0,1,1,1
"ENSG00000146151",28,51,32,27,34,56,27,32,42,29,63,69
"ENSG00000220725",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112175",2,2,7,10,5,9,3,11,17,11,8,4
"ENSG00000214604",0,1,0,0,0,0,0,1,0,0,1,0
"ENSG00000124749",0,6,2,2,0,1,0,0,0,0,0,0
"ENSG00000219095",8,17,5,9,13,21,6,14,9,15,16,9
"ENSG00000227602",18,19,15,11,10,31,16,22,40,32,31,61
"ENSG00000220666",12,19,30,22,27,53,27,30,33,20,42,46
"ENSG00000151914",5160,8743,7591,6503,5933,11245,5046,5764,8974,6544,9205,10223
"ENSG00000231441",4,10,9,6,12,9,15,12,13,10,3,8
"ENSG00000216854",935,1640,1313,1310,1244,1964,986,1256,1640,1379,1744,2240
"ENSG00000200224",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000151917",64,118,84,88,50,100,122,184,207,206,183,201
"ENSG00000219790",5,6,11,9,7,14,8,9,5,9,10,7
"ENSG00000218980",1434,2642,1853,1803,1695,2891,1411,1877,2628,2034,3118,4202
"ENSG00000276576",16,22,27,21,22,34,17,22,29,32,25,41
"ENSG00000168116",529,965,782,712,569,1137,492,666,823,715,867,1052
"ENSG00000112200",1467,2658,2067,1932,1713,3078,1535,1976,2489,2082,2943,3332
"ENSG00000226803",5,12,8,9,10,16,7,13,19,18,18,15
"ENSG00000112208",1594,2798,2030,2037,1630,2966,970,1420,1840,1505,2030,2425
"ENSG00000112210",959,1708,1275,1266,1099,1832,875,1065,1397,1257,1623,1873
"ENSG00000146143",1450,2593,1715,1819,1575,2701,1082,1583,2045,1614,2264,2661
"ENSG00000212017",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266579",0,3,1,1,0,3,1,2,3,0,1,1
"ENSG00000272541",2,1,1,2,0,8,1,15,8,7,16,13
"ENSG00000286723",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000271761",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000272316",50,128,101,80,86,182,75,131,159,135,221,241
"ENSG00000239650",33,77,15,38,38,67,34,25,48,35,73,95
"ENSG00000283352",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218189",1,1,0,0,0,1,0,0,0,1,1,0
"ENSG00000215190",226,406,260,267,196,404,254,353,404,356,435,503
"ENSG00000225096",30,83,55,51,48,102,34,59,70,72,77,98
"ENSG00000214563",0,4,0,0,0,0,0,0,0,0,0,0
"ENSG00000216687",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000214561",154,289,235,217,193,354,174,188,299,229,364,372
"ENSG00000275046",0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000283453",304,510,367,409,296,500,225,292,424,306,482,538
"ENSG00000277172",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275773",1,4,5,2,4,5,2,3,6,8,5,4
"ENSG00000287598",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274844",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276290",16,38,26,32,18,31,20,28,40,33,26,49
"ENSG00000220030",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255633",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250686",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112232",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287679",2,2,4,6,5,4,2,2,2,1,2,2
"ENSG00000216859",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217067",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000262566",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217477",1,0,0,0,0,0,0,1,0,1,0,0
"ENSG00000198225",2817,5203,4226,4397,3750,6469,2578,3522,4514,3421,4688,5546
"ENSG00000219940",0,1,2,0,0,0,1,0,0,3,0,0
"ENSG00000218520",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000146166",0,0,0,1,5,8,0,0,1,0,1,2
"ENSG00000218617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218274",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000218048",123,186,166,183,175,247,130,166,212,175,210,223
"ENSG00000225121",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112245",0,3,0,4,2,6,6,2,7,7,8,8
"ENSG00000213312",732,1356,1009,967,854,1360,763,1016,1225,973,1282,1613
"ENSG00000266680",2,15,10,12,19,19,11,23,16,14,38,40
"ENSG00000285976",40,48,84,76,147,175,79,91,168,134,111,156
"ENSG00000262651",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213309",1089,2176,1566,1698,1358,2360,999,1314,1594,1397,1686,2396
"ENSG00000118482",3512,5915,4833,4435,4113,7070,3361,3966,5559,4578,6176,7345
"ENSG00000188107",3,1,2,5,4,11,5,5,8,2,7,13
"ENSG00000218813",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236345",0,0,0,1,1,0,0,1,0,0,1,2
"ENSG00000219653",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232120",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217811",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243828",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214558",458,792,604,605,542,943,739,835,1154,880,1327,1468
"ENSG00000220483",6,8,11,4,16,14,4,8,6,3,5,3
"ENSG00000233859",445,943,733,758,648,1031,532,698,912,705,1006,1212
"ENSG00000218890",57,111,97,87,75,161,90,145,176,123,189,201
"ENSG00000270521",52,103,64,87,60,108,44,62,93,70,80,111
"ENSG00000238949",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212229",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271111",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251965",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201015",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206672",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227706",3,2,2,1,0,1,0,0,2,1,0,4
"ENSG00000286680",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287557",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270509",0,4,0,1,0,0,0,0,0,1,0,1
"ENSG00000285838",0,1,4,0,1,0,1,0,0,0,0,1
"ENSG00000223504",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000286564",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226497",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000288088",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218834",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230910",0,1,0,0,0,1,0,1,0,2,9,4
"ENSG00000135298",0,2,2,5,6,4,2,5,4,4,12,9
"ENSG00000168216",1000,1684,1260,1292,1065,1994,866,1055,1628,1255,1969,2759
"ENSG00000219085",2536,4061,3325,3102,2605,4574,2409,2720,3529,2937,3574,4298
"ENSG00000219881",0,0,0,0,1,2,0,1,0,0,1,1
"ENSG00000082293",0,0,0,0,1,0,2,3,2,2,0,0
"ENSG00000216365",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112280",0,1,1,1,1,2,1,0,0,1,0,2
"ENSG00000253809",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287300",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237643",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224349",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000082269",563,958,744,716,643,1092,355,433,542,455,718,816
"ENSG00000238386",0,0,0,0,0,0,8,0,0,1,0,0
"ENSG00000154079",61,111,82,75,62,141,60,71,105,98,153,193
"ENSG00000271967",0,0,0,1,0,1,0,0,0,0,1,0
"ENSG00000232389",733,1401,1086,1030,860,1552,891,1269,1383,1188,1410,1499
"ENSG00000218870",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000112305",296,501,457,452,363,675,365,480,565,518,634,640
"ENSG00000262803",2,0,0,0,1,2,0,0,0,0,0,0
"ENSG00000217767",0,0,3,0,2,1,0,0,0,3,0,0
"ENSG00000112309",17,26,17,23,17,17,11,20,33,29,23,60
"ENSG00000287939",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000219669",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000221345",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218350",236,426,326,341,286,469,271,345,404,366,434,461
"ENSG00000207180",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232295",6,9,19,7,9,7,14,20,39,19,26,27
"ENSG00000287380",0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000276127",0,0,0,0,0,0,0,0,4,0,2,4
"ENSG00000119900",2758,4920,3873,3665,2927,5964,3711,4754,5553,4872,7359,8677
"ENSG00000269966",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230597",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233237",368,707,470,430,387,733,668,832,1009,775,927,1005
"ENSG00000199094",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279289",1,5,6,11,1,12,4,11,8,9,6,10
"ENSG00000207827",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000223765",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285963",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000219575",1,0,0,0,0,0,0,1,0,0,0,5
"ENSG00000218014",0,0,2,0,3,1,5,6,4,5,2,5
"ENSG00000202069",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000079841",0,0,0,0,2,1,9,18,22,13,23,38
"ENSG00000218732",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217483",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181514",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000285844",0,1,0,0,1,0,0,2,8,0,1,2
"ENSG00000185760",151,278,233,229,136,310,95,103,156,92,112,144
"ENSG00000266180",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232422",6,7,4,11,6,8,1,10,3,4,10,6
"ENSG00000220515",1,3,1,0,1,3,2,0,0,0,0,1
"ENSG00000229154",0,0,1,0,1,0,0,4,1,3,2,1
"ENSG00000234025",2,12,1,13,10,10,5,7,6,15,13,22
"ENSG00000251360",0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000243501",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256980",0,0,0,0,0,0,0,1,1,1,0,0
"ENSG00000135314",167,309,184,206,214,363,189,256,338,259,333,454
"ENSG00000229852",182,319,221,206,180,340,146,181,252,221,304,366
"ENSG00000239626",0,0,0,0,0,0,1,0,1,0,0,0
"ENSG00000234882",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223389",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226840",120,245,171,179,103,210,128,172,166,141,187,221
"ENSG00000203909",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203908",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000203907",0,0,0,0,0,0,0,1,1,0,0,1
